"1","3.3.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"495","host","3.3.1","'!4,2' ETX"
,,,"'FX20,2' ETX"
,,,"'FE0,2' ETX"
,,,"'FF1,0,2' ETX"
,,,"'FF1,1,2' ETX"
,,,"'FC0,1,2' ETX"
,,,"'FC18,1,2' ETX"
"496","host","3.3.1","ESC ENQ"
"497","3.3.2","host","'0' ETX"
"498","host","3.3.1","ESC ENQ"
"499","3.3.2","host","'0' ETX"
"500","host","3.3.1","'M1016,274' ETX"
"501","host","3.3.1","BE1 ... ETX"
"502","host","3.3.1","BE2 ... ETX"
"503","host","3.3.1","BE1 ... ETX"
"504","host","3.3.1","ESC ENQ"
"505","3.3.2","host","'1' ETX"
"506","host","3.3.1","ESC ENQ"
"507","3.3.2","host","'1' ETX"
"508","host","3.3.1","ESC ENQ"
"509","3.3.2","host","'1' ETX"
"510","host","3.3.1","ESC ENQ"
"511","3.3.2","host","'1' ETX"
"512","host","3.3.1","ESC ENQ"
"513","3.3.2","host","'1' ETX"
"514","host","3.3.1","ESC ENQ"
"515","3.3.2","host","'0' ETX"
"516","host","3.3.1","ESC ENQ"
"517","3.3.2","host","'1' ETX"
"518","host","3.3.1","ESC ENQ"
"519","3.3.2","host","'1' ETX"
"520","host","3.3.1","ESC ENQ"
"521","3.3.2","host","'1' ETX"
"522","host","3.3.1","ESC ENQ"
"523","3.3.2","host","'1' ETX"
"524","host","3.3.1","ESC ENQ"
"525","3.3.2","host","'1' ETX"
"526","host","3.3.1","ESC ENQ"
"527","3.3.2","host","'1' ETX"
"528","host","3.3.1","ESC ENQ"
"529","3.3.2","host","'1' ETX"
"530","host","3.3.1","ESC ENQ"
"531","3.3.2","host","'0' ETX"
"532","host","3.3.1","'L0' ETX"
,,,"'\0,0' ETX"
,,,"'M0,0' ETX"
,,,"'J0' ETX"
,,,"'FN0' ETX"
,,,"'TB50,0' ETX"
"533","host","3.3.1","ESC ENQ"
"534","3.3.2","host","'1' ETX"
"535","host","3.3.1","ESC ENQ"
"536","3.3.2","host","'0' ETX"
"537","host","3.3.1","ESC ENQ"
"538","3.3.2","host","'0' ETX"
"539","host","3.3.1","ESC ENQ"
"540","3.3.2","host","'0' ETX"
"541","host","3.3.1","ESC ENQ"
"542","3.3.2","host","'0' ETX"
"543","host","3.3.1","ESC ENQ"
"544","3.3.2","host","'0' ETX"
"545","host","3.3.1","ESC ENQ"
"546","3.3.2","host","'0' ETX"
"547","host","3.3.1","ESC ENQ"
"548","3.3.2","host","'0' ETX"
"549","host","3.3.1","ESC ENQ"
"550","3.3.2","host","'0' ETX"
"551","host","3.3.1","ESC ENQ"
"552","3.3.2","host","'0' ETX"
"553","host","3.3.1","ESC ENQ"
"554","3.3.2","host","'0' ETX"
"555","host","3.3.1","ESC ENQ"
"556","3.3.2","host","'0' ETX"
"557","host","3.3.1","ESC ENQ"
"558","3.3.2","host","'0' ETX"
"559","host","3.3.1","ESC ENQ"
"560","3.3.2","host","'0' ETX"
"561","host","3.3.1","ESC ENQ"
"562","3.3.2","host","'0' ETX"
"563","host","3.3.1","ESC ENQ"
"564","3.3.2","host","'0' ETX"
"565","host","3.3.1","ESC ENQ"
"566","3.3.2","host","'0' ETX"
"567","host","3.3.1","ESC ENQ"
"568","3.3.2","host","'0' ETX"
"569","host","3.3.1","ESC ENQ"
"570","3.3.2","host","'0' ETX"
"571","host","3.3.1","ESC ENQ"
"572","3.3.2","host","'0' ETX"
"573","host","3.3.1","ESC ENQ"
"574","3.3.2","host","'0' ETX"
"575","host","3.3.1","ESC ENQ"
"576","3.3.2","host","'0' ETX"
"577","host","3.3.1","ESC ENQ"
"578","3.3.2","host","'0' ETX"
"579","host","3.3.1","ESC ENQ"
"580","3.3.2","host","'0' ETX"
"581","host","3.3.1","ESC ENQ"
