"2","3.3.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"995","host","3.3.1","ESC ENQ"
"998","3.3.2","host","'0' ETX"
"999","host","3.3.1","'M1016,274' ETX"
"1002","host","3.3.1","BE1 ... ETX"
"1004","host","3.3.1","BE2 ... ETX"
"1006","host","3.3.1","BE1 ... ETX"
"1008","host","3.3.1","ESC ENQ"
"1010","3.3.2","host","'1' ETX"
"1011","host","3.3.1","ESC ENQ"
"1014","3.3.2","host","'1' ETX"
"1015","host","3.3.1","ESC ENQ"
"1018","3.3.2","host","'1' ETX"
"1020","host","3.3.1","ESC ENQ"
"1022","3.3.2","host","'1' ETX"
"1024","host","3.3.1","ESC ENQ"
"1026","3.3.2","host","'1' ETX"
"1028","host","3.3.1","ESC ENQ"
"1030","3.3.2","host","'0' ETX"
"1031","host","3.3.1","ESC ENQ"
"1034","3.3.2","host","'1' ETX"
"1035","host","3.3.1","ESC ENQ"
"1038","3.3.2","host","'1' ETX"
"1040","host","3.3.1","ESC ENQ"
"1042","3.3.2","host","'1' ETX"
"1044","host","3.3.1","ESC ENQ"
"1046","3.3.2","host","'1' ETX"
"1048","host","3.3.1","ESC ENQ"
"1050","3.3.2","host","'1' ETX"
"1052","host","3.3.1","ESC ENQ"
"1054","3.3.2","host","'1' ETX"
"1056","host","3.3.1","ESC ENQ"
"1058","3.3.2","host","'1' ETX"
"1060","host","3.3.1","ESC ENQ"
"1062","3.3.2","host","'0' ETX"
"1063","host","3.3.1","'L0' ETX"
,,,"'\0,0' ETX"
,,,"'M0,0' ETX"
,,,"'J0' ETX"
,,,"'FN0' ETX"
,,,"'TB50,0' ETX"
"1066","host","3.3.1","ESC ENQ"
"1068","3.3.2","host","'1' ETX"
"1070","host","3.3.1","ESC ENQ"
"1072","3.3.2","host","'0' ETX"
"1074","host","3.3.1","ESC ENQ"
"1076","3.3.2","host","'0' ETX"
"1078","host","3.3.1","ESC ENQ"
"1080","3.3.2","host","'0' ETX"
"1082","host","3.3.1","ESC ENQ"
"1084","3.3.2","host","'0' ETX"
"1086","host","3.3.1","ESC ENQ"
"1088","3.3.2","host","'0' ETX"
"1090","host","3.3.1","ESC ENQ"
"1092","3.3.2","host","'0' ETX"
"1094","host","3.3.1","ESC ENQ"
"1096","3.3.2","host","'0' ETX"
"1098","host","3.3.1","ESC ENQ"
"1100","3.3.2","host","'0' ETX"
"1102","host","3.3.1","ESC ENQ"
"1104","3.3.2","host","'0' ETX"
"1106","host","3.3.1","ESC ENQ"
"1108","3.3.2","host","'0' ETX"
"1110","host","3.3.1","ESC ENQ"
"1112","3.3.2","host","'0' ETX"
"1114","host","3.3.1","ESC ENQ"
"1116","3.3.2","host","'0' ETX"
"1118","host","3.3.1","ESC ENQ"
"1120","3.3.2","host","'0' ETX"
"1122","host","3.3.1","ESC ENQ"
"1124","3.3.2","host","'0' ETX"
"1126","host","3.3.1","ESC ENQ"
"1128","3.3.2","host","'0' ETX"
"1130","host","3.3.1","ESC ENQ"
"1132","3.3.2","host","'0' ETX"
