"2","3.2.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"1076","host","3.2.1","ESC ENQ"
"1078","3.2.2","host","'1' ETX"
"1080","host","3.2.1","ESC ENQ"
"1082","3.2.2","host","'0' ETX"
"1083","host","3.2.1","ESC ENQ"
"1086","3.2.2","host","'0' ETX"
"1087","host","3.2.1","ESC ENQ"
"1090","3.2.2","host","'0' ETX"
"1091","host","3.2.1","'L0' ETX"
,,,"'J1' ETX"
"1094","host","3.2.1","'FX20,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
"1096","host","3.2.1","'FY1' ETX"
,,,"'TF3,1' ETX"
"1098","host","3.2.1","ESC ENQ"
"1100","3.2.2","host","'1' ETX"
"1101","host","3.2.1","ESC ENQ"
"1104","3.2.2","host","'1' ETX"
"1105","host","3.2.1","ESC ENQ"
"1108","3.2.2","host","'1' ETX"
"1110","host","3.2.1","ESC ENQ"
"1112","3.2.2","host","'1' ETX"
"1114","host","3.2.1","ESC ENQ"
"1116","3.2.2","host","'1' ETX"
"1118","host","3.2.1","ESC ENQ"
"1120","3.2.2","host","'1' ETX"
"1122","host","3.2.1","ESC ENQ"
"1124","3.2.2","host","'1' ETX"
"1126","host","3.2.1","ESC ENQ"
"1128","3.2.2","host","'1' ETX"
"1130","host","3.2.1","ESC ENQ"
"1132","3.2.2","host","'1' ETX"
"1134","host","3.2.1","ESC ENQ"
"1136","3.2.2","host","'1' ETX"
"1138","host","3.2.1","ESC ENQ"
"1140","3.2.2","host","'1' ETX"
"1142","host","3.2.1","ESC ENQ"
"1144","3.2.2","host","'1' ETX"
"1146","host","3.2.1","ESC ENQ"
"1148","3.2.2","host","'1' ETX"
"1150","host","3.2.1","ESC ENQ"
"1152","3.2.2","host","'1' ETX"
"1154","host","3.2.1","ESC ENQ"
"1156","3.2.2","host","'1' ETX"
"1158","host","3.2.1","ESC ENQ"
"1160","3.2.2","host","'1' ETX"
"1162","host","3.2.1","ESC ENQ"
"1164","3.2.2","host","'1' ETX"
"1166","host","3.2.1","ESC ENQ"
"1168","3.2.2","host","'1' ETX"
"1170","host","3.2.1","ESC ENQ"
"1172","3.2.2","host","'1' ETX"
"1174","host","3.2.1","ESC ENQ"
"1176","3.2.2","host","'1' ETX"
"1178","host","3.2.1","ESC ENQ"
"1180","3.2.2","host","'1' ETX"
"1182","host","3.2.1","ESC ENQ"
"1184","3.2.2","host","'1' ETX"
"1186","host","3.2.1","ESC ENQ"
"1188","3.2.2","host","'3' ETX"
"1190","host","3.2.1","ESC ENQ"
"1192","3.2.2","host","'3' ETX"
"1194","host","3.2.1","ESC ENQ"
"1196","3.2.2","host","'3' ETX"
"1198","host","3.2.1","ESC ENQ"
"1200","3.2.2","host","'3' ETX"
"1202","host","3.2.1","ESC ENQ"
"1204","3.2.2","host","'3' ETX"
"1206","host","3.2.1","ESC ENQ"
"1208","3.2.2","host","'3' ETX"
"1210","host","3.2.1","ESC ENQ"
"1212","3.2.2","host","'3' ETX"
"1214","host","3.2.1","ESC ENQ"
"1216","3.2.2","host","'3' ETX"
"1218","host","3.2.1","ESC ENQ"
"1220","3.2.2","host","'3' ETX"
"1222","host","3.2.1","ESC ENQ"
"1224","3.2.2","host","'3' ETX"
"1226","host","3.2.1","ESC ENQ"
"1228","3.2.2","host","'3' ETX"
"1230","host","3.2.1","ESC ENQ"
"1232","3.2.2","host","'3' ETX"
"1234","host","3.2.1","ESC ENQ"
"1236","3.2.2","host","'3' ETX"
"1238","host","3.2.1","ESC ENQ"
"1240","3.2.2","host","'3' ETX"
"1242","host","3.2.1","ESC ENQ"
"1244","3.2.2","host","'3' ETX"
"1246","host","3.2.1","ESC ENQ"
"1248","3.2.2","host","'3' ETX"
"1250","host","3.2.1","ESC ENQ"
"1252","3.2.2","host","'3' ETX"
"1254","host","3.2.1","ESC ENQ"
"1256","3.2.2","host","'3' ETX"
"1258","host","3.2.1","ESC ENQ"
"1260","3.2.2","host","'3' ETX"
"1262","host","3.2.1","ESC ENQ"
"1264","3.2.2","host","'4' ETX"
"1265","host","3.2.1","'FN0' ETX"
,,,"'TB50,0' ETX"
"1268","host","3.2.1","ESC ENQ"
"1270","3.2.2","host","'0' ETX"
"1271","host","3.2.1","'FG' ETX"
"1274","3.2.2","host","'CAMEO 3 V1.50    ' ETX"
"1275","host","3.2.1","ESC ENQ"
"1278","3.2.2","host","'0' ETX"
"1279","host","3.2.1","ESC ENQ"
"1282","3.2.2","host","'0' ETX"
"1283","host","3.2.1","ESC ENQ"
"1286","3.2.2","host","'0' ETX"
"1287","host","3.2.1","'[' ETX"
"1290","3.2.2","host","'     0,     0' ETX"
"1291","host","3.2.1","'U' ETX"
"1294","3.2.2","host","'  5826,  5212' ETX"
"1295","host","3.2.1","'FQ0' ETX"
"1298","3.2.2","host","'    5' ETX"
"1299","host","3.2.1","'FQ2' ETX"
"1302","3.2.2","host","'   18' ETX"
"1303","host","3.2.1","'TB71' ETX"
"1306","3.2.2","host","'    0,    0' ETX"
"1307","host","3.2.1","'FA' ETX"
"1310","3.2.2","host","'    0,    0' ETX"
"1311","host","3.2.1","'FG' ETX"
"1314","3.2.2","host","'CAMEO 3 V1.50    ' ETX"
"1315","host","3.2.1","ESC ENQ"
"1318","3.2.2","host","'0' ETX"
"1319","host","3.2.1","ESC ENQ"
"1322","3.2.2","host","'0' ETX"
"1323","host","3.2.1","'[' ETX"
"1326","3.2.2","host","'     0,     0' ETX"
"1327","host","3.2.1","'U' ETX"
